	Alligator	Gavialis	Acanthisitta	Bombycilla	Regulus	Fringilla	Passer	Ploceus	Vidua	Sylvia	Turdus	Picathartes	Corvus	Malurus	Climacteris	Menura	Dendrocolaptes	Scytalopus	Grallaria	Thamnophilus	Mionectes	Tyrannus	Pipra	Pitta	Smithornis	Sapayoa	Alisterus	Psittacula	Micropsitta	Chalcopsitta	Platycercus	Psittacus	Cacatua	Daptrius	Falco	Herpetotheres	Micrastur	Cariama	Alcedo	Momotus	Todus	Brachypteracias	Coracias	Merops	Bucco	Galbula	Capito	Megalaima	Dryocopus	Indicator	Bucorvus	Tockus	Phoeniculus	Upupa	Pharomachrus	Trogon	Leptosomus	Colius	Urocolius	Phodilus	Tyto	Speotyto	Strix	Buteo	Gampsonyx	Pandion	Sagittarius	Cathartes	Sarcoramphus	Arenaria	Jacana	Rostratula	Pedionomus	Thinocorus	Dromas	Larus	Turnix	Burhinus	Charadrius	Phegornis	Haematopus	Anhinga	Phalacrocorax	Morus	Fregata	Ardea	Cochlearius	Eudocimus	Balaeniceps	Scopus	Pelecanus	Ciconia	Diomedea	Oceanodroma	Pelecanoides	Puffinus	Oceanites	Eudyptula	Gavia	Corythaeola	Tauraco	Aramus	Grus	Psophia	Heliornis	Sarothrura	Himantornis	Rallus	Centropus	Coua	Coccyzus	Phaenicophaeus	Cuculus	Crotophaga	Geococcyx	Choriotis	Eupodotis	Opisthocomus	Aegotheles	Aerodramus	Streptoprocne	Hemiprocne	Colibri	Phaethornis	Caprimulgus	Eurostopodus	Batrachostomus	Podargus	Nyctibius-br	Nyctibius-gr	Steatornis	Eurypyga	Rhynochetos	Columba	Geotrygon	Treron	Columbina	Otidiphaps	Mesitornis	Monias	Pterocles	Syrrhaptes	Phaethon-le	Phaethon-ru	Phoenicopterus	Podiceps	Alectura	Megapodius	Colinus	Coturnix	Gallus	Rollulus	Numida	Crax	Anas	Aythya	Biziura	Anser	Malacorhynchus	Oxyura	Anseranas	Chauna	Apteryx	Casuarius	Dromaius	Crypturellus	Tinamus	Eudromia	Nothoprocta	Rhea	Struthio
Alligator	0	0.068021	0.781596	0.828665	0.818222	0.817233	0.821769	0.800859	0.80541	0.817937	0.825168	0.802718	0.786782	0.816388	0.797843	0.773574	0.794396	0.793991	0.792854	0.792136	0.793811	0.797913	0.78202	0.816479	0.791379	0.798669	0.750316	0.747598	0.757113	0.757938	0.753726	0.757041	0.739799	0.701013	0.717638	0.686351	0.688762	0.68515	0.794789	0.758179	0.760837	0.736153	0.735534	0.762018	0.77539	0.771873	0.819935	0.828986	0.795032	0.790062	0.741446	0.777969	0.846198	0.847063	0.744704	0.745584	0.705464	0.764306	0.771725	0.694833	0.697595	0.714739	0.691642	0.674853	0.695897	0.68118	0.6808	0.657811	0.656779	0.706164	0.746589	0.742268	0.738266	0.747813	0.685066	0.692292	0.833359	0.675499	0.687641	0.686239	0.677249	0.690335	0.701816	0.677336	0.664108	0.687083	0.683056	0.679355	0.66918	0.690556	0.679769	0.66404	0.653721	0.663273	0.669975	0.66135	0.671868	0.667	0.667251	0.697242	0.702293	0.698246	0.691748	0.716042	0.776605	0.793772	0.763505	0.762549	0.786621	0.753738	0.777942	0.763688	0.757486	0.747468	0.75728	0.703093	0.70517	0.701659	0.726939	0.742191	0.726751	0.727355	0.770957	0.773651	0.700352	0.696876	0.709113	0.701707	0.682513	0.675682	0.693577	0.73094	0.726427	0.740493	0.739985	0.733211	0.737049	0.722309	0.72454	0.724062	0.715568	0.713391	0.691527	0.691207	0.668762	0.702957	0.740427	0.739313	0.825737	0.817491	0.787437	0.809205	0.76238	0.744489	0.722948	0.722254	0.721273	0.7091	0.729628	0.721006	0.674184	0.674872	0.60692	0.614068	0.618053	0.736222	0.717932	0.74726	0.743348	0.647878	0.621658
Gavialis	0.068021	0	0.804495	0.851564	0.841121	0.840132	0.844668	0.823758	0.828309	0.840836	0.848067	0.825617	0.809681	0.839287	0.820742	0.796473	0.817295	0.81689	0.815753	0.815035	0.81671	0.820812	0.804919	0.839378	0.814278	0.821568	0.773215	0.770497	0.780012	0.780837	0.776625	0.77994	0.762698	0.723912	0.740537	0.70925	0.711661	0.708049	0.817688	0.781078	0.783736	0.759052	0.758433	0.784917	0.798289	0.794772	0.842834	0.851885	0.817931	0.812961	0.764345	0.800868	0.869097	0.869962	0.767603	0.768483	0.728363	0.787205	0.794624	0.717732	0.720494	0.737638	0.714541	0.697752	0.718796	0.704079	0.703699	0.68071	0.679678	0.729063	0.769488	0.765167	0.761165	0.770712	0.707965	0.715191	0.856258	0.698398	0.71054	0.709138	0.700148	0.713234	0.724715	0.700235	0.687007	0.709982	0.705955	0.702254	0.692079	0.713455	0.702668	0.686939	0.67662	0.686172	0.692874	0.684249	0.694767	0.689899	0.69015	0.720141	0.725192	0.721145	0.714647	0.738941	0.799504	0.816671	0.786404	0.785448	0.80952	0.776637	0.800841	0.786587	0.780385	0.770367	0.780179	0.725992	0.728069	0.724558	0.749838	0.76509	0.74965	0.750254	0.793856	0.79655	0.723251	0.719775	0.732012	0.724606	0.705412	0.698581	0.716476	0.753839	0.749326	0.763392	0.762884	0.75611	0.759948	0.745208	0.747439	0.746961	0.738467	0.73629	0.714426	0.714106	0.691661	0.725856	0.763326	0.762212	0.848636	0.84039	0.810336	0.832104	0.785279	0.767388	0.745847	0.745153	0.744172	0.731999	0.752527	0.743905	0.697083	0.697771	0.629819	0.636967	0.640952	0.759121	0.740831	0.770159	0.766247	0.670777	0.644557
Acanthisitta	0.781596	0.804495	0	0.256279	0.245836	0.244847	0.249383	0.228473	0.233024	0.245551	0.252782	0.230332	0.214396	0.244002	0.225457	0.201188	0.22201	0.221605	0.220468	0.21975	0.221425	0.225527	0.209634	0.244093	0.218993	0.226283	0.281812	0.279094	0.288609	0.289434	0.285222	0.288537	0.271295	0.238935	0.25556	0.224273	0.226684	0.225566	0.340031	0.303421	0.306079	0.281395	0.280776	0.30726	0.320632	0.317115	0.365177	0.374228	0.340274	0.335304	0.286688	0.323211	0.39144	0.392305	0.289946	0.290826	0.250706	0.309548	0.316967	0.240075	0.242837	0.259981	0.236884	0.220095	0.241139	0.226422	0.226042	0.203053	0.202021	0.26183	0.302255	0.297934	0.293932	0.303479	0.240732	0.247958	0.389025	0.231165	0.243307	0.241905	0.232915	0.251469	0.26295	0.23847	0.225242	0.248217	0.24419	0.240489	0.230314	0.25169	0.240903	0.225174	0.214855	0.224407	0.231109	0.222484	0.233002	0.228134	0.228385	0.258376	0.263427	0.25938	0.252882	0.277176	0.337739	0.354906	0.324639	0.323683	0.347755	0.314872	0.339076	0.324822	0.31862	0.308602	0.318414	0.264227	0.266304	0.262793	0.291061	0.306313	0.290873	0.291477	0.335079	0.337773	0.264474	0.260998	0.273235	0.265829	0.246635	0.239804	0.257699	0.295062	0.290549	0.304615	0.304107	0.297333	0.301171	0.286431	0.288662	0.288184	0.27969	0.277513	0.255649	0.255329	0.232884	0.267079	0.394469	0.393355	0.479779	0.471533	0.441479	0.463247	0.416422	0.398531	0.37699	0.376296	0.375315	0.363142	0.38367	0.375048	0.328226	0.328914	0.39332	0.400468	0.404453	0.522622	0.504332	0.53366	0.529748	0.434278	0.408058
Bombycilla	0.828665	0.851564	0.256279	0	0.123709	0.127662	0.132198	0.111288	0.115839	0.12934	0.136571	0.133615	0.130381	0.179745	0.18585	0.173709	0.246811	0.246406	0.245269	0.244551	0.246226	0.250328	0.234435	0.268894	0.243794	0.251084	0.328881	0.326163	0.335678	0.336503	0.332291	0.335606	0.318364	0.286004	0.302629	0.271342	0.273753	0.272635	0.3871	0.35049	0.353148	0.328464	0.327845	0.354329	0.367701	0.364184	0.412246	0.421297	0.387343	0.382373	0.333757	0.37028	0.438509	0.439374	0.337015	0.337895	0.297775	0.356617	0.364036	0.287144	0.289906	0.30705	0.283953	0.267164	0.288208	0.273491	0.273111	0.250122	0.24909	0.308899	0.349324	0.345003	0.341001	0.350548	0.287801	0.295027	0.436094	0.278234	0.290376	0.288974	0.279984	0.298538	0.310019	0.285539	0.272311	0.295286	0.291259	0.287558	0.277383	0.298759	0.287972	0.272243	0.261924	0.271476	0.278178	0.269553	0.280071	0.275203	0.275454	0.305445	0.310496	0.306449	0.299951	0.324245	0.384808	0.401975	0.371708	0.370752	0.394824	0.361941	0.386145	0.371891	0.365689	0.355671	0.365483	0.311296	0.313373	0.309862	0.33813	0.353382	0.337942	0.338546	0.382148	0.384842	0.311543	0.308067	0.320304	0.312898	0.293704	0.286873	0.304768	0.342131	0.337618	0.351684	0.351176	0.344402	0.34824	0.3335	0.335731	0.335253	0.326759	0.324582	0.302718	0.302398	0.279953	0.314148	0.441538	0.440424	0.526848	0.518602	0.488548	0.510316	0.463491	0.4456	0.424059	0.423365	0.422384	0.410211	0.430739	0.422117	0.375295	0.375983	0.440389	0.447537	0.451522	0.569691	0.551401	0.580729	0.576817	0.481347	0.455127
Regulus	0.818222	0.841121	0.245836	0.123709	0	0.117219	0.121755	0.100845	0.105396	0.118897	0.126128	0.123172	0.119938	0.169302	0.175407	0.163266	0.236368	0.235963	0.234826	0.234108	0.235783	0.239885	0.223992	0.258451	0.233351	0.240641	0.318438	0.31572	0.325235	0.32606	0.321848	0.325163	0.307921	0.275561	0.292186	0.260899	0.26331	0.262192	0.376657	0.340047	0.342705	0.318021	0.317402	0.343886	0.357258	0.353741	0.401803	0.410854	0.3769	0.37193	0.323314	0.359837	0.428066	0.428931	0.326572	0.327452	0.287332	0.346174	0.353593	0.276701	0.279463	0.296607	0.27351	0.256721	0.277765	0.263048	0.262668	0.239679	0.238647	0.298456	0.338881	0.33456	0.330558	0.340105	0.277358	0.284584	0.425651	0.267791	0.279933	0.278531	0.269541	0.288095	0.299576	0.275096	0.261868	0.284843	0.280816	0.277115	0.26694	0.288316	0.277529	0.2618	0.251481	0.261033	0.267735	0.25911	0.269628	0.26476	0.265011	0.295002	0.300053	0.296006	0.289508	0.313802	0.374365	0.391532	0.361265	0.360309	0.384381	0.351498	0.375702	0.361448	0.355246	0.345228	0.35504	0.300853	0.30293	0.299419	0.327687	0.342939	0.327499	0.328103	0.371705	0.374399	0.3011	0.297624	0.309861	0.302455	0.283261	0.27643	0.294325	0.331688	0.327175	0.341241	0.340733	0.333959	0.337797	0.323057	0.325288	0.32481	0.316316	0.314139	0.292275	0.291955	0.26951	0.303705	0.431095	0.429981	0.516405	0.508159	0.478105	0.499873	0.453048	0.435157	0.413616	0.412922	0.411941	0.399768	0.420296	0.411674	0.364852	0.36554	0.429946	0.437094	0.441079	0.559248	0.540958	0.570286	0.566374	0.470904	0.444684
Fringilla	0.817233	0.840132	0.244847	0.127662	0.117219	0	0.077108	0.07389	0.078441	0.117908	0.125139	0.122183	0.118949	0.168313	0.174418	0.162277	0.235379	0.234974	0.233837	0.233119	0.234794	0.238896	0.223003	0.257462	0.232362	0.239652	0.317449	0.314731	0.324246	0.325071	0.320859	0.324174	0.306932	0.274572	0.291197	0.25991	0.262321	0.261203	0.375668	0.339058	0.341716	0.317032	0.316413	0.342897	0.356269	0.352752	0.400814	0.409865	0.375911	0.370941	0.322325	0.358848	0.427077	0.427942	0.325583	0.326463	0.286343	0.345185	0.352604	0.275712	0.278474	0.295618	0.272521	0.255732	0.276776	0.262059	0.261679	0.23869	0.237658	0.297467	0.337892	0.333571	0.329569	0.339116	0.276369	0.283595	0.424662	0.266802	0.278944	0.277542	0.268552	0.287106	0.298587	0.274107	0.260879	0.283854	0.279827	0.276126	0.265951	0.287327	0.27654	0.260811	0.250492	0.260044	0.266746	0.258121	0.268639	0.263771	0.264022	0.294013	0.299064	0.295017	0.288519	0.312813	0.373376	0.390543	0.360276	0.35932	0.383392	0.350509	0.374713	0.360459	0.354257	0.344239	0.354051	0.299864	0.301941	0.29843	0.326698	0.34195	0.32651	0.327114	0.370716	0.37341	0.300111	0.296635	0.308872	0.301466	0.282272	0.275441	0.293336	0.330699	0.326186	0.340252	0.339744	0.33297	0.336808	0.322068	0.324299	0.323821	0.315327	0.31315	0.291286	0.290966	0.268521	0.302716	0.430106	0.428992	0.515416	0.50717	0.477116	0.498884	0.452059	0.434168	0.412627	0.411933	0.410952	0.398779	0.419307	0.410685	0.363863	0.364551	0.428957	0.436105	0.44009	0.558259	0.539969	0.569297	0.565385	0.469915	0.443695
Passer	0.821769	0.844668	0.249383	0.132198	0.121755	0.077108	0	0.078426	0.082977	0.122444	0.129675	0.126719	0.123485	0.172849	0.178954	0.166813	0.239915	0.23951	0.238373	0.237655	0.23933	0.243432	0.227539	0.261998	0.236898	0.244188	0.321985	0.319267	0.328782	0.329607	0.325395	0.32871	0.311468	0.279108	0.295733	0.264446	0.266857	0.265739	0.380204	0.343594	0.346252	0.321568	0.320949	0.347433	0.360805	0.357288	0.40535	0.414401	0.380447	0.375477	0.326861	0.363384	0.431613	0.432478	0.330119	0.330999	0.290879	0.349721	0.35714	0.280248	0.28301	0.300154	0.277057	0.260268	0.281312	0.266595	0.266215	0.243226	0.242194	0.302003	0.342428	0.338107	0.334105	0.343652	0.280905	0.288131	0.429198	0.271338	0.28348	0.282078	0.273088	0.291642	0.303123	0.278643	0.265415	0.28839	0.284363	0.280662	0.270487	0.291863	0.281076	0.265347	0.255028	0.26458	0.271282	0.262657	0.273175	0.268307	0.268558	0.298549	0.3036	0.299553	0.293055	0.317349	0.377912	0.395079	0.364812	0.363856	0.387928	0.355045	0.379249	0.364995	0.358793	0.348775	0.358587	0.3044	0.306477	0.302966	0.331234	0.346486	0.331046	0.33165	0.375252	0.377946	0.304647	0.301171	0.313408	0.306002	0.286808	0.279977	0.297872	0.335235	0.330722	0.344788	0.34428	0.337506	0.341344	0.326604	0.328835	0.328357	0.319863	0.317686	0.295822	0.295502	0.273057	0.307252	0.434642	0.433528	0.519952	0.511706	0.481652	0.50342	0.456595	0.438704	0.417163	0.416469	0.415488	0.403315	0.423843	0.415221	0.368399	0.369087	0.433493	0.440641	0.444626	0.562795	0.544505	0.573833	0.569921	0.474451	0.448231
Ploceus	0.800859	0.823758	0.228473	0.111288	0.100845	0.07389	0.078426	0	0.051437	0.101534	0.108765	0.105809	0.102575	0.151939	0.158044	0.145903	0.219005	0.2186	0.217463	0.216745	0.21842	0.222522	0.206629	0.241088	0.215988	0.223278	0.301075	0.298357	0.307872	0.308697	0.304485	0.3078	0.290558	0.258198	0.274823	0.243536	0.245947	0.244829	0.359294	0.322684	0.325342	0.300658	0.300039	0.326523	0.339895	0.336378	0.38444	0.393491	0.359537	0.354567	0.305951	0.342474	0.410703	0.411568	0.309209	0.310089	0.269969	0.328811	0.33623	0.259338	0.2621	0.279244	0.256147	0.239358	0.260402	0.245685	0.245305	0.222316	0.221284	0.281093	0.321518	0.317197	0.313195	0.322742	0.259995	0.267221	0.408288	0.250428	0.26257	0.261168	0.252178	0.270732	0.282213	0.257733	0.244505	0.26748	0.263453	0.259752	0.249577	0.270953	0.260166	0.244437	0.234118	0.24367	0.250372	0.241747	0.252265	0.247397	0.247648	0.277639	0.28269	0.278643	0.272145	0.296439	0.357002	0.374169	0.343902	0.342946	0.367018	0.334135	0.358339	0.344085	0.337883	0.327865	0.337677	0.28349	0.285567	0.282056	0.310324	0.325576	0.310136	0.31074	0.354342	0.357036	0.283737	0.280261	0.292498	0.285092	0.265898	0.259067	0.276962	0.314325	0.309812	0.323878	0.32337	0.316596	0.320434	0.305694	0.307925	0.307447	0.298953	0.296776	0.274912	0.274592	0.252147	0.286342	0.413732	0.412618	0.499042	0.490796	0.460742	0.48251	0.435685	0.417794	0.396253	0.395559	0.394578	0.382405	0.402933	0.394311	0.347489	0.348177	0.412583	0.419731	0.423716	0.541885	0.523595	0.552923	0.549011	0.453541	0.427321
Vidua	0.80541	0.828309	0.233024	0.115839	0.105396	0.078441	0.082977	0.051437	0	0.106085	0.113316	0.11036	0.107126	0.15649	0.162595	0.150454	0.223556	0.223151	0.222014	0.221296	0.222971	0.227073	0.21118	0.245639	0.220539	0.227829	0.305626	0.302908	0.312423	0.313248	0.309036	0.312351	0.295109	0.262749	0.279374	0.248087	0.250498	0.24938	0.363845	0.327235	0.329893	0.305209	0.30459	0.331074	0.344446	0.340929	0.388991	0.398042	0.364088	0.359118	0.310502	0.347025	0.415254	0.416119	0.31376	0.31464	0.27452	0.333362	0.340781	0.263889	0.266651	0.283795	0.260698	0.243909	0.264953	0.250236	0.249856	0.226867	0.225835	0.285644	0.326069	0.321748	0.317746	0.327293	0.264546	0.271772	0.412839	0.254979	0.267121	0.265719	0.256729	0.275283	0.286764	0.262284	0.249056	0.272031	0.268004	0.264303	0.254128	0.275504	0.264717	0.248988	0.238669	0.248221	0.254923	0.246298	0.256816	0.251948	0.252199	0.28219	0.287241	0.283194	0.276696	0.30099	0.361553	0.37872	0.348453	0.347497	0.371569	0.338686	0.36289	0.348636	0.342434	0.332416	0.342228	0.288041	0.290118	0.286607	0.314875	0.330127	0.314687	0.315291	0.358893	0.361587	0.288288	0.284812	0.297049	0.289643	0.270449	0.263618	0.281513	0.318876	0.314363	0.328429	0.327921	0.321147	0.324985	0.310245	0.312476	0.311998	0.303504	0.301327	0.279463	0.279143	0.256698	0.290893	0.418283	0.417169	0.503593	0.495347	0.465293	0.487061	0.440236	0.422345	0.400804	0.40011	0.399129	0.386956	0.407484	0.398862	0.35204	0.352728	0.417134	0.424282	0.428267	0.546436	0.528146	0.557474	0.553562	0.458092	0.431872
Sylvia	0.817937	0.840836	0.245551	0.12934	0.118897	0.117908	0.122444	0.101534	0.106085	0	0.118961	0.122887	0.119653	0.169017	0.175122	0.162981	0.236083	0.235678	0.234541	0.233823	0.235498	0.2396	0.223707	0.258166	0.233066	0.240356	0.318153	0.315435	0.32495	0.325775	0.321563	0.324878	0.307636	0.275276	0.291901	0.260614	0.263025	0.261907	0.376372	0.339762	0.34242	0.317736	0.317117	0.343601	0.356973	0.353456	0.401518	0.410569	0.376615	0.371645	0.323029	0.359552	0.427781	0.428646	0.326287	0.327167	0.287047	0.345889	0.353308	0.276416	0.279178	0.296322	0.273225	0.256436	0.27748	0.262763	0.262383	0.239394	0.238362	0.298171	0.338596	0.334275	0.330273	0.33982	0.277073	0.284299	0.425366	0.267506	0.279648	0.278246	0.269256	0.28781	0.299291	0.274811	0.261583	0.284558	0.280531	0.27683	0.266655	0.288031	0.277244	0.261515	0.251196	0.260748	0.26745	0.258825	0.269343	0.264475	0.264726	0.294717	0.299768	0.295721	0.289223	0.313517	0.37408	0.391247	0.36098	0.360024	0.384096	0.351213	0.375417	0.361163	0.354961	0.344943	0.354755	0.300568	0.302645	0.299134	0.327402	0.342654	0.327214	0.327818	0.37142	0.374114	0.300815	0.297339	0.309576	0.30217	0.282976	0.276145	0.29404	0.331403	0.32689	0.340956	0.340448	0.333674	0.337512	0.322772	0.325003	0.324525	0.316031	0.313854	0.29199	0.29167	0.269225	0.30342	0.43081	0.429696	0.51612	0.507874	0.47782	0.499588	0.452763	0.434872	0.413331	0.412637	0.411656	0.399483	0.420011	0.411389	0.364567	0.365255	0.429661	0.436809	0.440794	0.558963	0.540673	0.570001	0.566089	0.470619	0.444399
