DATA	k	p	q	error_length	FP	FN	TP	TN	FPR	Recall
RHOD	k5_L30	0.1	0.1	4	92	198	198	259759	0.317241269917	0.499999873737
RHOD	k5_L30	0.1	0.1	8	87	136	656	259368	0.117092850997	0.828282723702
RHOD	k5_L30	0.1	0.1	32	141	1531	1636	256939	0.0793472099411	0.516577186089
RHOD	k5_L30	0.1	0.25	4	92	198	198	259759	0.317241269917	0.499999873737
RHOD	k5_L30	0.1	0.25	8	87	136	656	259368	0.117092850997	0.828282723702
RHOD	k5_L30	0.1	0.25	32	141	1531	1636	256939	0.0793472099411	0.516577186089
RHOD	k5_L30	0.1	0.5	4	92	198	198	259759	0.317241269917	0.499999873737
RHOD	k5_L30	0.1	0.5	8	87	136	656	259368	0.117092850997	0.828282723702
RHOD	k5_L30	0.1	0.5	32	141	1531	1636	256939	0.0793472099411	0.516577186089
RHOD	k5_L30	0.25	0.1	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k5_L30	0.25	0.1	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k5_L30	0.25	0.1	32	233	1531	1636	256847	0.124665589906	0.516577186089
RHOD	k5_L30	0.25	0.25	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k5_L30	0.25	0.25	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k5_L30	0.25	0.25	32	233	1531	1636	256847	0.124665589906	0.516577186089
RHOD	k5_L30	0.25	0.5	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k5_L30	0.25	0.5	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k5_L30	0.25	0.5	32	233	1531	1636	256847	0.124665589906	0.516577186089
RHOD	k5_L30	0.5	0.1	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k5_L30	0.5	0.1	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k5_L30	0.5	0.1	32	233	1531	1636	256847	0.124665589906	0.516577186089
RHOD	k5_L30	0.5	0.25	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k5_L30	0.5	0.25	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k5_L30	0.5	0.25	32	233	1531	1636	256847	0.124665589906	0.516577186089
RHOD	k5_L30	0.5	0.5	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k5_L30	0.5	0.5	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k5_L30	0.5	0.5	32	233	1531	1636	256847	0.124665589906	0.516577186089
RHOD	k9_L54	0.1	0.1	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k9_L54	0.1	0.1	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k9_L54	0.1	0.1	32	233	1531	1636	256847	0.124665589906	0.516577186089
RHOD	k9_L54	0.1	0.25	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k9_L54	0.1	0.25	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k9_L54	0.1	0.25	32	233	1531	1636	256847	0.124665589906	0.516577186089
RHOD	k9_L54	0.1	0.5	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k9_L54	0.1	0.5	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k9_L54	0.1	0.5	32	233	1531	1636	256847	0.124665589906	0.516577186089
RHOD	k9_L54	0.25	0.1	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k9_L54	0.25	0.1	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k9_L54	0.25	0.1	32	233	1531	1636	256847	0.124665589906	0.516577186089
RHOD	k9_L54	0.25	0.25	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k9_L54	0.25	0.25	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k9_L54	0.25	0.25	32	233	1531	1636	256847	0.124665589906	0.516577186089
RHOD	k9_L54	0.25	0.5	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k9_L54	0.25	0.5	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k9_L54	0.25	0.5	32	233	1531	1636	256847	0.124665589906	0.516577186089
RHOD	k9_L54	0.5	0.1	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k9_L54	0.5	0.1	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k9_L54	0.5	0.1	32	233	1531	1636	256847	0.124665589906	0.516577186089
RHOD	k9_L54	0.5	0.25	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k9_L54	0.5	0.25	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k9_L54	0.5	0.25	32	233	1531	1636	256847	0.124665589906	0.516577186089
RHOD	k9_L54	0.5	0.5	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k9_L54	0.5	0.5	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k9_L54	0.5	0.5	32	233	1531	1636	256847	0.124665589906	0.516577186089
RHOD	k17_Linf	0.1	0.1	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k17_Linf	0.1	0.1	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k17_Linf	0.1	0.1	32	224	1779	1388	256856	0.138957807757	0.438269641987
RHOD	k17_Linf	0.1	0.25	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k17_Linf	0.1	0.25	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k17_Linf	0.1	0.25	32	233	1531	1636	256847	0.124665589906	0.516577186089
RHOD	k17_Linf	0.1	0.5	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k17_Linf	0.1	0.5	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k17_Linf	0.1	0.5	32	233	1531	1636	256847	0.124665589906	0.516577186089
RHOD	k17_Linf	0.25	0.1	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k17_Linf	0.25	0.1	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k17_Linf	0.25	0.1	32	224	1779	1388	256856	0.138957807757	0.438269641987
RHOD	k17_Linf	0.25	0.25	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k17_Linf	0.25	0.25	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k17_Linf	0.25	0.25	32	233	1531	1636	256847	0.124665589906	0.516577186089
RHOD	k17_Linf	0.25	0.5	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k17_Linf	0.25	0.5	8	193	136	656	259262	0.22732623942	0.828282723702
